id,category,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
160,Technical Indicators,Divergence antara harga dan indikator menandakan...,Kelanjutan tren,Konsolidasi,Potensi pembalikan arah,Volume meningkat,C,"Divergence antara harga dan indikator menandakan potensi pembalikan arah karena terjadi ketidaksesuaian antara pergerakan harga dan kekuatan momentum yang ditunjukkan indikator (seperti RSI atau MACD), di mana harga masih membuat higher high/lower low tetapi indikator gagal mengikuti, sehingga mengindikasikan melemahnya tren saat ini dan kemungkinan terjadinya reversal."
161,Technical Indicators,Harga menyentuh upper band Bollinger mengindikasikan...,Oversold,Overbought,Trend reversal pasti,Harga akan turun drastis,B,"Harga menyentuh upper band Bollinger mengindikasikan overbought karena harga telah bergerak naik dengan cukup kuat hingga berada di dua standar deviasi di atas Moving Average, menunjukkan bahwa momentum pembelian sedang sangat tinggi dan harga berpotensi mengalami koreksi atau pullback meskipun bukan sinyal reversal yang pasti."
162,Chart Patterns,Pola Triangle yang menunjukkan kelanjutan tren disebut...,Symmetrical Triangle,Ascending Triangle,Descending Triangle,Semua benar,D,"Pola Triangle yang menunjukkan kelanjutan tren disebut Symmetrical Triangle, Ascending Triangle, maupun Descending Triangle karena ketiganya merupakan pola continuation, di mana Symmetrical Triangle biasanya melanjutkan tren sebelumnya, Ascending Triangle melanjutkan tren naik, dan Descending Triangle melanjutkan tren turun setelah breakout dari pola konsolidasi tersebut."
163,Chart Patterns,Pola Flag dan Pennant biasanya muncul setelah...,Pergerakan harga lambat,Pergerakan harga kuat (sharp move),Sideways panjang,Market reversal,B,"Pola Flag dan Pennant biasanya muncul setelah pergerakan harga kuat (sharp move) karena kedua pola ini merupakan pola kelanjutan (continuation patterns) yang terbentuk setelah adanya lonjakan harga yang tajam dan kuat (seperti tiang/mast), diikuti oleh konsolidasi singkat berbentuk segi empat miring (Flag) atau segitiga kecil (Pennant), sebelum harga melanjutkan tren ke arah semula dengan momentum yang lebih kuat."
164,Chart Patterns,Pola Cup and Handle biasanya mengindikasikan...,Reversal bearish,Continuation bullish,Sideways market,Downtrend berlanjut,B,"Pola Cup and Handle biasanya mengindikasikan continuation bullish karena pola ini muncul di tengah tren naik, di mana bagian cup membentuk pembalikan melingkar yang halus setelah koreksi, diikuti handle yang merupakan konsolidasi kecil, dan breakout di atas resistance handle menandakan kelanjutan tren naik dengan momentum yang kuat."
165,Dow Theory & Market Cycles,Fase distribusi dalam Dow Theory biasanya terjadi saat...,Awal tren naik,Harga mulai turun tajam,Smart money mulai menjual,Investor ritel mulai panik,C,"Fase distribusi dalam Dow Theory biasanya terjadi saat smart money (investor institusi/investor besar) mulai menjual posisinya secara bertahap kepada investor ritel yang sedang antusias membeli di level harga tinggi, biasanya menjelang akhir tren naik utama sebelum harga mulai mengalami pembalikan menjadi tren turun."
166,Philosophy & History of Technical Analysis,"Prinsip ""history repeats itself"" dalam analisis teknikal mengimplikasikan bahwa pola harga masa lalu cenderung berulang karena...",Pergerakan harga bersifat acak dan tidak dapat diprediksi,Psikologi manusia (rasa takut dan serakah) relatif konstan sepanjang waktu,Semua pola harga akan menghasilkan hasil yang identik setiap kali muncul,Harga selalu kembali ke level rata-rata dalam jangka panjang,B,"Prinsip ""history repeats itself"" dalam analisis teknikal didasarkan pada asumsi bahwa psikologi pelaku pasar yang didorong oleh rasa takut dan serakah cenderung konstan dari waktu ke waktu, sehingga pola harga historis yang terbentuk dari perilaku tersebut berpeluang besar muncul kembali di masa depan."
167,Philosophy & History of Technical Analysis,"Seorang trader menggunakan moving average untuk menghaluskan harga, level support/resistance untuk mengidentifikasi area pantulan, serta RSI untuk mengukur kondisi jenuh beli/jual. Pendekatan ini mencerminkan bahwa analisis teknikal...",Hanya mengandalkan satu indikator utama sebagai acuan mutlak,Mengabaikan data volume karena tidak relevan dalam analisis,Menggabungkan berbagai alat untuk memahami psikologi pasar secara multidimensional,Bertujuan menghilangkan risiko kerugian secara keseluruhan,C,"Analisis teknikal memanfaatkan beragam alat seperti moving averages, support/resistance, dan indikator RSI secara sinergis untuk mengukur psikologi pasar dari berbagai sudut pandang guna menemukan peluang trading yang menguntungkan."
168,Philosophy & History of Technical Analysis,Perbedaan mendasar antara analisis teknikal dan analisis fundamental terletak pada...,"Analisis teknikal berfokus pada data harga dan volume masa lalu, sedangkan fundamental pada laporan keuangan dan nilai intrinsik","Analisis teknikal menjamin keuntungan pasti, sedangkan fundamental hanya memberikan estimasi","Analisis teknikal hanya digunakan untuk time frame pendek, fundamental hanya untuk jangka panjang","Analisis teknikal tidak memerlukan grafik, sedangkan fundamental sangat bergantung pada grafik",A,"Analisis teknikal secara eksklusif mempelajari data pasar masa lalu seperti grafik harga, volume, dan pola untuk memprediksi pergerakan di masa depan, sementara analisis fundamental menilai nilai intrinsik aset berdasarkan laporan keuangan dan kondisi ekonomi perusahaan."
169,Dow Theory & Market Cycles,"Prinsip ""Market discounts everything"" dalam Dow Theory menyiratkan bahwa jika tiba-tiba terjadi krisis global namun harga saham di bursa lokal tidak bergerak signifikan, maka seorang analis teknikal akan berkesimpulan bahwa...",Pasar sedang tidak efisien dan perlu intervensi regulator,Informasi krisis tersebut telah diabaikan oleh pelaku pasar,Semua informasi termasuk krisis telah tercermin dalam harga saat ini,Harga hanya merespon berita fundamental yang sudah terkonfirmasi,C,"Prinsip ""Market discounts everything"" menyatakan bahwa semua informasi (termasuk berita buruk maupun baik) telah sepenuhnya tercermin dalam harga saham saat ini, sehingga tidak adanya pergerakan harga justru menunjukkan bahwa krisis tersebut sudah diantisipasi pasar."
170,Dow Theory & Market Cycles,"Dalam Dow Theory, jika IHSG sedang dalam tren naik utama (primary uptrend) namun terjadi penurunan harga selama tiga minggu yang tidak menembus level terendah sebelumnya, penurunan ini diklasifikasikan sebagai...",Tren minor yang mengubah arah tren utama,Tren sekunder yang bersifat koreksi sementara,Fase distribusi yang menandakan pembalikan tren,Konfirmasi divergensi antar indeks,B,"Menurut Dow Theory, tren sekunder (secondary trend) adalah koreksi sementara yang berlawanan arah dengan tren utama dan berlangsung beberapa minggu hingga bulan, selama tidak menembus level konfirmasi pembalikan tren."
171,Dow Theory & Market Cycles,"Fase ""participation"" (public participation) dalam teori tiga fase pasar Dow Theory bercirikan...",Harga masih rendah dan volume tipis karena hanya institusi yang bertransaksi,Harga mulai naik cepat dengan volume besar karena investor ritel ikut masuk,Harga mencapai puncak dan institusi mulai melepas posisi secara halus,Harga bergerak sideways tanpa arah yang jelas selama berbulan-bulan,B,Fase partisipasi (participation) adalah fase kedua di mana harga bergerak naik dengan cepat disertai volume besar karena publik (investor ritel) mulai mengikuti tren setelah institusi selesai melakukan akumulasi pada fase pertama.
172,Dow Theory & Market Cycles,"Seorang trader melihat bahwa indeks sektor properti telah membentuk higher high, tetapi indeks IHSG belum mencapai higher high yang baru. Menurut prinsip konfirmasi indeks (confirmation by indices), kondisi ini disebut...",Tren utama yang valid karena satu indeks cukup mewakili pasar,Divergensi yang melemahkan validitas sinyal tren bullish,Konfirmasi sempurna karena sektor properti memimpin,Fase distribusi yang mengonfirmasi kelanjutan tren,B,"Prinsip konfirmasi indeks dalam Dow Theory mensyaratkan bahwa lebih dari satu indeks atau sektor industri harus bergerak searah untuk memvalidasi suatu sinyal tren, sehingga ketika terjadi ketidaksepakatan (divergensi), sinyal tren dianggap tidak kuat atau belum valid."
173,Dow Theory & Market Cycles,"Dalam Dow Theory, volume perdagangan dianggap mengonfirmasi tren jika pada saat IHSG membentuk higher high dalam uptrend, volume yang terjadi adalah...",Volume menurun secara konsisten dari puncak sebelumnya,Volume stagnan tanpa perubahan berarti,Volume meningkat dibandingkan saat pembentukan higher high sebelumnya,Volume tidak berperan karena Dow Theory mengabaikan volume,C,"Prinsip ""volume confirms trends"" menyatakan bahwa volume harus meningkat searah dengan tren primer, sehingga dalam uptrend yang sehat, setiap higher high harus didukung oleh volume yang lebih tinggi atau setidaknya tidak menurun drastis untuk memvalidasi kekuatan tren."
174,Dow Theory & Market Cycles,"Seorang analis teknikal menemukan bahwa IHSG telah berada dalam downtrend selama 8 bulan, namun belum ada sinyal pembalikan seperti pembentukan higher low atau penembusan resistance. Berdasarkan prinsip ""trends persist"", analis tersebut sebaiknya...",Segera membuka posisi beli karena tren sudah terlalu lama,Menganggap tren akan berlanjut sampai ada sinyal pembalikan yang jelas,Mengabaikan tren utama dan fokus pada tren minor harian,Membutuhkan konfirmasi volume tanpa memperhatikan harga,B,"Prinsip ""trends persist"" dalam Dow Theory menegaskan bahwa tren yang telah terbentuk akan terus berlanjut hingga muncul sinyal pembalikan yang jelas dan meyakinkan (seperti perubahan pola higher low/higher high atau penembusan garis tren), bukan karena faktor durasi waktu semata."
175,Chart Patterns,Perbedaan utama antara pola Flag dan Pennant sebagai pola kelanjutan (continuation) terletak pada…,"Arah tren sebelumnya (Flag membutuhkan tren naik, Pennant tren turun)","Bentuk area konsolidasi (Flag berbentuk saluran paralel, Pennant berbentuk segitiga simetris)",Volume saat breakout (Flag membutuhkan volume lebih tinggi daripada Pennant),"Durasi pembentukan (Flag terbentuk dalam hitungan jam, Pennant dalam hitungan minggu)",B,"Flag memiliki area konsolidasi berupa saluran paralel yang miring berlawanan dengan tren sebelumnya (seperti bendera), sedangkan Pennant membentuk segitiga simetris yang meruncing, namun keduanya merupakan pola continuation dengan tren sebelumnya yang kuat."
176,Chart Patterns,"Dalam pola Cup & Handle, volume perdagangan yang ideal saat harga menembus (breakout) dari garis resistance handle seharusnya…",Lebih rendah daripada volume saat pembentukan cup agar tidak false breakout,Meningkat secara signifikan dibandingkan volume selama pembentukan handle,Stagnan karena pola ini tidak memerlukan konfirmasi volume,Hanya meningkat jika pola terjadi di time frame harian,B,Breakout yang valid pada pola Cup & Handle harus didukung oleh lonjakan volume yang nyata (lebih tinggi dari volume rata-rata saat handle terbentuk) untuk mengonfirmasi kekuatan pembeli dan kelanjutan tren naik.
177,Chart Patterns,"Seorang trader mengidentifikasi pola Cup & Handle pada grafik mingguan sebuah saham. Setelah harga menembus resistance handle, ia langsung masuk posisi beli. Namun harga kemudian turun kembali ke dalam area handle. Kesalahan paling mungkin dari trader tersebut adalah…",Tidak menunggu volume breakout yang cukup tinggi,Mengira pola Cup & Handle sebagai pola reversal bearish,Mengabaikan bahwa handle seharusnya terbentuk lebih rendah dari separuh cup,Masuk terlalu cepat sebelum harga menutup di atas resistance handle dengan jelas,D,"Breakout pada Cup & Handle baru dianggap valid jika harga menutup dengan tegas di atas resistance handle (bukan sekadar menyentuh), seringkali disertai volume tinggi, karena jika tidak maka berisiko false breakout yang menjebak pembeli."
178,Chart Patterns,Pola Cup & Handle tergolong sebagai pola…,Pembalikan bearish (bearish reversal),Pembalikan bullish (bullish reversal),Kelanjutan bearish (bearish continuation),Kelanjutan bullish (bullish continuation),D,"Ini adalah soal jebakan karena pola Cup & Handle merupakan continuation pattern bullish yang muncul setelah tren naik, bukan pola reversal, sehingga jawaban yang benar adalah kelanjutan bullish, meskipun bentuknya menyerupai huruf U yang membalik."
179,Chart Patterns,"Dalam pola Flag, arah kemiringan flag (area konsolidasi) yang benar adalah…",Selalu horizontal (sejajar dengan sumbu waktu),Searah dengan tren sebelumnya (misal tren naik maka flag miring naik),Berlawanan arah dengan tren sebelumnya (misal tren naik maka flag miring turun),"Acak, tergantung volatilitas pasar",C,"Ini jebakan karena banyak trader mengira flag searah tren, padahal pada pola Flag yang benar (continuation), area konsolidasi (flag) justru miring berlawanan dengan arah tren sebelumnya akibat koreksi singkat, misalnya flag menurun dalam uptrend."
180,Chart Patterns,Ciri khas pembentukan pola Pennant yang membedakannya dari pola segitiga simetris biasa adalah…,Volume perdagangan terus meningkat selama pembentukan pennant,Pennant hanya terjadi di akhir downtrend sebagai reversal,Sebelum pennant harus ada pergerakan harga yang tajam (flagpole) dalam tren yang kuat,Pennant tidak memerlukan konfirmasi volume saat breakout,C,"Ini jebakan karena soal menguji karakteristik esensial Pennant: ia harus didahului oleh gerakan harga tajam dan cepat (flagpole) yang mencerminkan tren kuat, berbeda dengan segitiga simetris biasa yang tidak mensyaratkan adanya flagpole."
181,Chart Patterns,Pola Rectangle dikatakan memiliki fungsi ganda (dual function) karena dapat bertindak sebagai continuation atau reversal tergantung pada…,Tinggi rendahnya volume selama pembentukan rectangle,Arah breakout dan konfirmasi tren sebelumnya,Jumlah kali harga menyentuh batas atas dan bawah,Lama waktu pembentukan pattern (semakin lama semakin reversal),B,"Rectangle berfungsi sebagai continuation jika breakout searah dengan tren sebelumnya, namun menjadi reversal jika breakout berlawanan arah dengan tren yang mendahuluinya, sehingga penentuan fungsi sangat bergantung pada arah breakout relatif terhadap tren awal."
182,Chart Patterns,"Seorang trader melihat pola Ascending Triangle terbentuk setelah downtrend yang panjang. Jika harga menembus sisi atas (resistensi horizontal) dengan volume tinggi, pola ini kemungkinan besar berfungsi sebagai…",Bearish continuation (kelanjutan turun),Bullish reversal (pembalikan naik),Sideways pattern tanpa arah jelas,Bearish reversal (pembalikan turun),B,"Meskipun Ascending Triangle umumnya dianggap bullish continuation, ketika terbentuk setelah downtrend (bukan uptrend), breakout ke atas justru menandakan pembalikan tren dari turun menjadi naik (bullish reversal), inilah sifat dual function-nya."
183,Chart Patterns,Perbedaan utama antara Rising Wedge sebagai pola continuation versus reversal terletak pada…,"Kemiringan wedge (continuation lebih curam, reversal lebih landai)",Volume selama breakout (reversal membutuhkan volume lebih tinggi),"Posisi wedge dalam tren utama: continuation terjadi dalam tren naik, reversal terjadi dalam tren turun","Panjang wedge (continuation pendek, reversal panjang)",C,"Rising Wedge berfungsi sebagai continuation bearish jika muncul dalam downtrend (harga masih akan turun setelah breakout ke bawah), tetapi menjadi reversal bullish jika muncul dalam uptrend (breakout ke bawah membalikkan tren naik menjadi turun), sehingga fungsi bergantung pada arah tren sebelumnya."
184,Chart Patterns,Pola Symmetrical Triangle dikatakan sebagai pola dual function karena…,Selalu menghasilkan breakout ke atas tanpa memandang tren sebelumnya,"Arah breakout tidak dapat diprediksi, bisa naik atau turun, terlepas dari tren sebelumnya",Memiliki fungsi ganda yaitu sebagai continuation dan reversal secara bersamaan dalam satu waktu,"Hanya bisa menjadi reversal, tidak pernah continuation",B,"Ini jebakan karena symmetrical triangle memang dual function, tetapi bukan karena bisa continuation dan reversal sekaligus, melainkan karena arah breakout-nya netral (bisa naik atau turun) dan fungsinya baru ditentukan setelah breakout terjadi, terlepas apakah searah atau berlawanan dengan tren sebelumnya."
185,Chart Patterns,"Seorang trader menemukan pola Rectangle pada grafik harian dengan harga bergerak horizontal di antara support dan resistance. Menurut konsep dual function, trader tersebut seharusnya…",Langsung mengambil posisi beli karena rectangle pasti continuation bullish,Langsung mengambil posisi jual karena rectangle pasti continuation bearish,"Menunggu breakout dengan volume dan arah yang jelas, baru menentukan posisi",Mengabaikan pola rectangle karena tidak memiliki fungsi yang jelas,C,"Ini jebakan karena banyak trader menganggap rectangle memiliki fungsi tetap, padahal sifat dual function-nya mengharuskan trader untuk bersabar dan menunggu breakout beserta konfirmasi volume sebelum menentukan apakah pola tersebut berfungsi sebagai continuation atau reversal."
186,Chart Patterns,Pola Falling Wedge yang terbentuk setelah uptrend akan berfungsi sebagai…,Bullish continuation (kelanjutan naik) setelah breakout ke atas,Bearish reversal (pembalikan turun) setelah breakout ke bawah,Bullish reversal (pembalikan naik) setelah breakout ke bawah,Tidak memiliki fungsi karena falling wedge hanya reversal pattern,A,"Ini jebakan karena banyak yang keliru menganggap falling wedge selalu reversal, padahal falling wedge dalam uptrend yang diikuti breakout ke atas adalah bullish continuation, sementara falling wedge dalam downtrend yang diikuti breakout ke atas adalah bullish reversal; jadi fungsi sangat kontekstual."
187,Chart Patterns,"Seorang trader mengamati Double Top pada grafik harian dengan jarak antara dua puncak selama 3 bulan dan penurunan di antara keduanya sebesar 15%. Namun, setelah penembusan neckline, harga hanya turun 8% lalu berbalik naik melebihi puncak kedua. Kondisi ini paling tepat disebut sebagai…",Double Top yang gagal karena target terpenuhi,Pola yang berubah menjadi konsolidasi sideways,Konfirmasi tren bullish baru setelah re-test neckline,Double Top yang berhasil tetapi target tidak tercapai karena tren utama masih kuat,A,"Ini jebakan karena secara teknis Double Top dikatakan gagal (failed) jika setelah break neckline harga tidak mencapai target minimal (biasanya ketinggian pola) dan malah berbalik naik melebihi puncak kedua, sehingga pola tersebut batal sebagai reversal."
188,Chart Patterns,Syarat utama agar Double Top dianggap valid sebagai pola pembalikan bearish adalah…,Kedua puncak harus memiliki tinggi yang persis sama,Jarak antara kedua puncak minimal 10% dari harga,Harga harus menembus leher (neckline) dengan volume yang meningkat,Terbentuk setelah tren turun yang panjang,C,"Ini jebakan karena banyak yang mengira Double Top harus puncak sama persis atau setelah tren naik (itu benar), tetapi syarat mutlak validitas adalah penembusan neckline dengan konfirmasi volume, tanpa itu pola hanya potensi reversal."
189,Chart Patterns,"Dalam Double Top klasik, proyeksi target penurunan harga setelah breakout dihitung dengan…",Jarak antara puncak pertama dan leher dikalikan dua,"Jarak antara puncak tertinggi dan leher, lalu diproyeksikan ke bawah dari titik breakout",Rata-rata tinggi kedua puncak dikurangi leher,"Tinggi pola diukur dari puncak ke leher, lalu ditambahkan ke leher",B,"Ini jebakan karena target dihitung dengan mengukur jarak vertikal dari puncak tertinggi ke garis leher (neckline), kemudian memproyeksikan jarak yang sama ke bawah dari titik breakout neckline, bukan dari puncak ke puncak."
190,Chart Patterns,Double Top yang terbentuk dalam time frame mingguan dengan volume yang menurun pada puncak kedua dibanding puncak pertama mengindikasikan…,Kekuatan pembeli semakin kuat,Divergensi bullish yang akan membatalkan pola,Melemahnya tekanan beli dan penguatan sinyal reversal,Pola tidak valid karena volume harus naik pada puncak kedua,C,"Ini jebakan karena volume yang lebih rendah pada puncak kedua justru mengonfirmasi pelemahan pembeli dan memperkuat sinyal reversal bearish, berbeda dengan anggapan keliru bahwa volume harus selalu meningkat."
191,Chart Patterns,Seorang trader melihat Double Top dengan neckline miring ke atas. Yang perlu diperhatikan dalam validasi pola ini adalah…,Neckline miring ke atas membatalkan pola Double Top,Breakout dianggap sah jika harga menembus garis tren yang menghubungkan lembah terendah,Hanya Double Top dengan neckline horizontal yang valid,Neckline miring ke atas mengubah pola menjadi ascending triangle,B,"Ini jebakan karena Double Top tetap valid dengan neckline miring (naik atau turun), yang penting adalah penembusan garis yang menghubungkan lembah di antara kedua puncak, bukan harus horizontal."
192,Chart Patterns,"Jika harga setelah membentuk Double Top gagal menembus neckline tetapi kemudian bergerak sideways di atas neckline selama lebih dari 20% durasi pembentukan pola, maka pola tersebut kemungkinan besar akan…",Tetap menjadi reversal setelah konsolidasi,Berubah menjadi pola continuation (flag atau pennant),Membatalkan sinyal bearish dan berpotensi naik lebih tinggi,Membutuhkan volume ekstrem untuk keluar dari sideways,C,"Ini jebakan tingkat tinggi karena ketika harga tidak mampu menembus neckline setelah membentuk dua puncak dan malah berkonsolidasi di atas neckline dalam waktu lama, sinyal bearish melemah dan pasar cenderung melanjutkan tren naik, membatalkan potensi reversal."
193,Chart Patterns,Perbedaan kritis antara Double Bottom yang sukses dan Double Bottom yang gagal terletak pada…,Kedalaman lembah kedua harus lebih dalam dari lembah pertama,Konfirmasi volume saat penembusan neckline dan retest support lama,Jarak antar lembah minimal 4 minggu untuk validitas,Harga harus ditutup di atas neckline pada hari yang sama,B,"Double Bottom sukses memerlukan volume yang meningkat saat breakout neckline dan seringkali disertai retest yang berhasil (neckline menjadi support), sedangkan kegagalan terjadi jika retest menembus kembali ke bawah neckline tanpa volume."
194,Chart Patterns,"Dalam Double Bottom, jika lembah kedua terbentuk dengan volume yang lebih rendah daripada lembah pertama, hal ini menandakan…",Pelemahan tekanan jual dan konfirmasi reversal bullish,Pola tidak valid karena volume harus naik di lembah kedua,Kekuatan penjual masih dominan dan pola akan gagal,Dibutuhkan lembah ketiga untuk membentuk triple bottom,A,"Ini jebakan karena volume yang lebih rendah pada lembah kedua mengindikasikan bahwa penjual kehabisan tenaga (exhaustion), bukan kelemahan pola, sehingga justru memperkuat sinyal pembalikan bullish."
195,Chart Patterns,Target harga minimum untuk Double Bottom dihitung dengan…,Menambahkan tinggi pola (dari lembah ke neckline) ke titik breakout neckline,Mengurangi tinggi pola dari lembah pertama,"Mengalikan jarak antar lembah dengan 1,618",Menggunakan rata-rata tinggi kedua lembah,A,"Target dihitung dengan mengukur jarak dari lembah terendah ke garis leher (neckline), lalu menambahkan jarak yang sama ke atas dari titik breakout neckline, bukan dari lembah ke lembah."
196,Chart Patterns,"Seorang trader menemukan Double Bottom pada grafik 4 jam setelah downtrend tajam. Namun, breakout neckline terjadi dengan volume sangat rendah. Tindakan paling bijak adalah…",Langsung entry buy karena pola sudah terbentuk,Menambah posisi karena volume rendah berarti sedikit lawan,Menunggu konfirmasi tambahan seperti retest atau peningkatan volume,Menganggap pola sebagai false breakout dan entry sell,C,Volume rendah pada breakout Double Bottom adalah red flag; trader expert akan menunggu konfirmasi tambahan seperti retest neckline yang berhasil atau lonjakan volume pada penutupan di atas neckline untuk menghindari false breakout.
197,Chart Patterns,"Jika Double Bottom terbentuk tetapi lembah kedua lebih rendah daripada lembah pertama (lower low), maka pola tersebut sebenarnya adalah…",Double Bottom yang lebih kuat karena seller exhausted,Tidak dapat disebut Double Bottom karena harus higher low,Triple Bottom tahap awal,Pola Head and Shoulders bottom,B,"Syarat mutlak Double Bottom adalah lembah kedua harus lebih tinggi (higher low) daripada lembah pertama; jika lebih rendah, pola tersebut bukan Double Bottom melainkan bagian dari downtrend berkelanjutan atau pola lain."
198,Chart Patterns,"Dalam konteks Double Bottom, istilah ""kupu-kupu"" (butterfly) sering merujuk pada…",Pola dengan neckline berbentuk V,Double Bottom yang gagal dan berubah menjadi continuation,Double Bottom dengan lembah kedua yang lebih dalam lalu naik tajam melebihi neckline,Variasi di mana harga setelah breakout naik lalu turun kembali ke neckline sebelum melanjutkan,D,"Ini jebakan tingkat tinggi karena trader profesional menyebut ""butterfly"" atau ""kissing"" sebagai aksi harga setelah breakout yang kembali menyentuh neckline (retest) lalu memantul, bukan pola yang gagal."
199,Chart Patterns,Perbedaan mendasar antara Triple Top dan Double Top dalam hal validitas reversal adalah…,"Triple Top membutuhkan tiga puncak dengan tinggi sama, Double Top tidak",Triple Top lebih jarang terjadi tetapi sinyal reversalnya lebih kuat,Triple Top tidak memerlukan konfirmasi volume,Double Top memiliki target lebih akurat daripada Triple Top,B,"Triple Top adalah pola yang lebih langka namun memberikan sinyal pembalikan bearish yang lebih kuat karena menunjukkan tiga kali kegagalan menembus resistance, menandakan exhaustion pembeli yang lebih ekstrem."
200,Chart Patterns,"Seorang trader melihat Triple Top dengan puncak pertama tertinggi, puncak kedua sedikit lebih rendah, puncak ketiga sama dengan puncak kedua. Pola ini tetap valid sebagai Triple Top karena…","Tinggi puncak tidak harus identik, yang penting resistance levelnya sama",Puncak kedua dan ketiga harus lebih rendah dari puncak pertama,Hanya puncak pertama yang menentukan neckline,Triple Top membutuhkan puncak yang semakin menurun,A,"Dalam Triple Top, yang terpenting adalah ketiga puncak gagal menembus level resistance yang kurang lebih sama, meskipun tingginya tidak persis identik; perbedaan kecil masih dapat diterima."
201,Chart Patterns,Volume pada Triple Top yang ideal untuk konfirmasi reversal bearish adalah…,Volume meningkat pada setiap puncak,Volume menurun pada puncak kedua dan ketiga dibanding puncak pertama,Volume tertinggi pada puncak ketiga,Volume acak tidak berpengaruh,B,"Pola Triple Top yang valid biasanya menunjukkan volume yang semakin menurun pada puncak kedua dan ketiga, menandakan melemahnya minat beli dan meningkatnya tekanan jual."
202,Chart Patterns,"Jika setelah membentuk Triple Top, harga menembus neckline namun kemudian kembali naik melewati puncak ketiga, maka pola tersebut…",Berubah menjadi pola continuation bullish,Disebut sebagai Triple Top yang terkonfirmasi,Memerlukan konfirmasi tambahan selama 3 periode,Tidak pernah terjadi dalam analisis teknikal,A,"Ini adalah skenario gagal (failed) di mana Triple Top batal sebagai reversal dan harga melanjutkan tren naik, sehingga pola berfungsi sebagai konsolidasi sebelum kelanjutan bullish."
203,Chart Patterns,Garis leher (neckline) pada Triple Top sejatinya dibentuk dengan menghubungkan…,"Titik terendah antara puncak pertama dan kedua, lalu antara kedua dan ketiga",Harga penutupan terendah dari setiap lembah,Titik terendah dari dua lembah terendah di antara ketiga puncak,Rata-rata dari ketiga lembah,C,"Neckline Triple Top ditarik dengan menghubungkan titik terendah (lembah) di antara puncak-puncak tersebut, biasanya menggunakan dua lembah terendah yang membentuk level support horizontal atau miring."
204,Chart Patterns,"Dalam trading Triple Top, kesalahan umum yang dilakukan pemula adalah…",Entry short tepat saat harga menyentuh puncak ketiga,Menunggu konfirmasi penembusan neckline,Menggunakan stop loss di atas puncak tertinggi,Memasang target berdasarkan tinggi pola,A,Entry di puncak ketiga sebelum harga turun dan menembus neckline sangat berisiko karena harga masih bisa berbalik naik lagi; trader profesional menunggu penembusan neckline dengan volume untuk konfirmasi reversal.
205,Chart Patterns,Sinyal reversal bullish dari Triple Bottom dianggap paling kuat ketika…,Ketiga lembah memiliki volume yang sama tinggi,Lembah ketiga terbentuk dengan volume lebih rendah dari lembah pertama dan kedua,Volume tertinggi terjadi pada lembah pertama,Volume terus meningkat dari lembah pertama hingga ketiga,B,"Triple Bottom paling kuat ketika volume pada lembah ketiga lebih rendah (exhaustion penjual) diikuti lonjakan volume saat breakout neckline, menunjukkan tekanan jual yang habis."
206,Chart Patterns,"Jika lembah kedua pada Triple Bottom lebih rendah dari lembah pertama, maka pola tersebut…",Tetap valid sebagai Triple Bottom,Tidak valid dan kemungkinan menjadi Double Bottom,Berubah menjadi pola Head and Shoulders bottom,Memerlukan lembah keempat untuk konfirmasi,C,"Jika lembah kedua lebih rendah dari lembah pertama, pola tersebut lebih mirip dengan Inverse Head and Shoulders (kepala di tengah lebih rendah), bukan Triple Bottom yang mensyaratkan lembah relatif sejajar."
207,Chart Patterns,Target kenaikan harga setelah breakout Triple Bottom dihitung dengan…,Menambahkan jarak dari lembah terendah ke neckline ke titik breakout,Mengalikan jarak antar lembah dengan dua,Menggunakan rata-rata ketiga lembah ditambah neckline,Tidak ada target spesifik karena pola ini hanya indikasi,A,"Sama seperti Double Bottom, target dihitung dengan mengukur tinggi pola (dari lembah terendah ke garis leher) dan memproyeksikannya ke atas dari titik breakout neckline."
208,Chart Patterns,"Seorang trader menemukan pola yang tampak seperti Triple Bottom, tetapi harga setelah breakout naik sedikit lalu turun kembali melewati neckline. Kondisi ini disebut…",Triple Bottom yang sukses dengan retest,False breakout yang membatalkan pola,Konsolidasi sebelum kelanjutan bullish,Pola Triple Bottom yang membutuhkan konfirmasi volume,B,"Jika setelah breakout harga turun kembali menembus neckline ke bawah, maka breakout dianggap palsu (false breakout) dan pola Triple Bottom dinyatakan gagal."
209,Chart Patterns,"Dalam Triple Bottom, waktu pembentukan antar lembah yang ideal untuk menghindari pola yang tidak berarti adalah…",Kurang dari 1 minggu,Antara 1 hingga 3 minggu,Lebih dari 3 minggu tetapi kurang dari 2 bulan,Tidak ada batasan waktu,C,"Triple Bottom yang terlalu pendek (kurang dari 3 minggu) seringkali hanya fluktuasi biasa, sementara pembentukan antara 3 minggu hingga 2 bulan memberikan signifikansi yang lebih baik."
210,Chart Patterns,Salah satu perbedaan teknis antara Triple Bottom dan pola konsolidasi horizontal (rectangle) adalah…,"Triple Bottom memiliki neckline miring, rectangle horizontal","Triple Bottom memiliki lembah yang jelas dengan tren turun sebelumnya, rectangle tanpa tren sebelumnya","Triple Bottom menggunakan volume, rectangle tidak",Triple Bottom terjadi hanya pada time frame harian,B,"Triple Bottom adalah pola reversal yang didahului oleh tren turun yang jelas, sedangkan rectangle bisa muncul tanpa tren sebelumnya (sideways) atau sebagai continuation."
